name,year,month,retail_and_recreation_percent_change_from_baseline
Afghanistan,2020,2,-1.2
Afghanistan,2020,3,-10.741935483870968
Afghanistan,2020,4,-50.25
Afghanistan,2020,5,-44.083333333333336
Afghanistan,2020,7,-8.827586206896552
Afghanistan,2020,8,-8.0625
Afghanistan,2020,9,36.5
Afghanistan,2020,10,32.483870967741936
Afghanistan,2020,11,29.416666666666668
Afghanistan,2020,12,29.951612903225808
Afghanistan,2021,1,23.451612903225808
Afghanistan,2021,2,21.053571428571427
Afghanistan,2021,3,32.08695652173913
Angola,2020,2,-3.7
Angola,2020,3,-14.65079365079365
Angola,2020,4,-54.56716417910448
Angola,2020,5,-36.507936507936506
Angola,2020,6,-17.883333333333333
Angola,2020,7,-20.080645161290324
Angola,2020,8,-15.887096774193548
Angola,2020,9,-11.666666666666666
Angola,2020,10,-15.241935483870968
Angola,2020,11,-15.5
Angola,2020,12,-7.650793650793651
Angola,2021,1,-16.761904761904763
Angola,2021,2,-9.071428571428571
Angola,2021,3,-0.41304347826086957
Argentina,2020,2,-1.6067833698030634
Argentina,2020,3,-36.108129003755245
Argentina,2020,4,-79.75093383137673
Argentina,2020,5,-71.41191285732276
Argentina,2020,6,-60.90876275827732
Argentina,2020,7,-55.726408367007366
Argentina,2020,8,-52.035162409334596
Argentina,2020,9,-50.07619728377412
Argentina,2020,10,-45.37263134006581
Argentina,2020,11,-39.58433523987394
Argentina,2020,12,-28.57447998210691
Argentina,2021,1,-36.15460055096419
Argentina,2021,2,-29.263579049466536
Argentina,2021,3,-25.189121090855195
Australia,2020,2,0.21216661672160622
Australia,2020,3,-12.77633328408923
Australia,2020,4,-40.9593521258371
Australia,2020,5,-24.934034560480843
Australia,2020,6,-11.442704295239572
Australia,2020,7,-8.407980941036332
Australia,2020,8,-17.884946677604592
Australia,2020,9,-12.776375282592314
Australia,2020,10,-9.23460972017673
Australia,2020,11,-4.6169626454378445
Australia,2020,12,1.268915087300403
Australia,2021,1,-7.3460064839375185
Australia,2021,2,-8.618223383409536
Australia,2021,3,-4.498006379585327
Austria,2020,2,5.86468085106383
Austria,2020,3,-44.91277387350145
Austria,2020,4,-67.64587782998719
Austria,2020,5,-32.85803497085762
Austria,2020,6,-12.216333622936578
Austria,2020,7,1.4220374220374221
Austria,2020,8,0.18537524053880694
Austria,2020,9,-5.422023476802683
Austria,2020,10,-17.567556634304207
Austria,2020,11,-52.16357504215851
Austria,2020,12,-49.17054263565891
Austria,2021,1,-66.41359773371104
Austria,2021,2,-45.306873614190685
Austria,2021,3,-39.75341716785128
Bangladesh,2020,2,2.533333333333333
Bangladesh,2020,3,-18.580645161290324
Bangladesh,2020,4,-72.7
Bangladesh,2020,5,-60.03225806451613
Bangladesh,2020,6,-45.333333333333336
Bangladesh,2020,7,-29.35483870967742
Bangladesh,2020,8,-23.903225806451612
Bangladesh,2020,9,-16.233333333333334
Bangladesh,2020,10,-10.741935483870968
Bangladesh,2020,11,-5.533333333333333
Bangladesh,2020,12,-2.4838709677419355
Bangladesh,2021,1,-1.1612903225806452
Bangladesh,2021,2,8.464285714285714
Bangladesh,2021,3,14.434782608695652
Belarus,2020,2,4.533333333333333
Belarus,2020,3,-2.129032258064516
Belarus,2020,4,-24.9
Belarus,2020,5,-16.838709677419356
Belarus,2020,6,-5.9
Belarus,2020,7,-1.935483870967742
Belarus,2020,8,-9.548387096774194
Belarus,2020,9,-10.433333333333334
Belarus,2020,10,-17.096774193548388
Belarus,2020,11,-24.233333333333334
Belarus,2020,12,-20.838709677419356
Belarus,2021,1,-31.096774193548388
Belarus,2021,2,-27.964285714285715
Belarus,2021,3,-21.695652173913043
Belgium,2020,2,0.6952380952380952
Belgium,2020,3,-41.60829493087557
Belgium,2020,4,-73.15238095238095
Belgium,2020,5,-47.3778801843318
Belgium,2020,6,-14.804761904761905
Belgium,2020,7,-5.451612903225806
Belgium,2020,8,-7.459016393442623
Belgium,2020,9,-6.880382775119617
Belgium,2020,10,-22.75115207373272
Belgium,2020,11,-51.285714285714285
Belgium,2020,12,-34.345622119815665
Belgium,2021,1,-43.87327188940092
Belgium,2021,2,-35.545918367346935
Belgium,2021,3,-32.41614906832298
Belize,2020,2,3.267857142857143
Belize,2020,3,-17.840336134453782
Belize,2020,4,-71.09009009009009
Belize,2020,5,-43.70247933884298
Belize,2020,6,-26.559322033898304
Belize,2020,7,-20.483870967741936
Belize,2020,8,-31.47457627118644
Belize,2020,9,-21.25
Belize,2020,10,-19.778688524590162
Belize,2020,11,-22.026086956521738
Belize,2020,12,-15.663934426229508
Belize,2021,1,-27.878048780487806
Belize,2021,2,-16.65765765765766
Belize,2021,3,-10.644444444444444
Benin,2020,2,-1.3555555555555556
Benin,2020,3,-7.126315789473685
Benin,2020,4,-20.15
Benin,2020,5,-14.7
Benin,2020,6,-9.648936170212766
Benin,2020,7,-4.6421052631578945
Benin,2020,8,1.3454545454545455
Benin,2020,9,-1.4852941176470589
Benin,2020,10,-13.37962962962963
Benin,2020,11,-12.76923076923077
Benin,2020,12,-7.764150943396227
Benin,2021,1,-11.121495327102803
Benin,2021,2,-13.20388349514563
Benin,2021,3,-11.2
Bolivia,2020,2,-3.878787878787879
Bolivia,2020,3,-35.896708286038596
Bolivia,2020,4,-78.59224441833138
Bolivia,2020,5,-72.1510067114094
Bolivia,2020,6,-61.12180974477958
Bolivia,2020,7,-54.68227424749164
Bolivia,2020,8,-53.3546875
Bolivia,2020,9,-36.445868945868945
Bolivia,2020,10,-27.97145993413831
Bolivia,2020,11,-24.855367231638418
Bolivia,2020,12,-11.19031903190319
Bolivia,2021,1,-27.389793702497286
Bolivia,2021,2,-24.679903730445247
Bolivia,2021,3,-19.850812407680944
Bosnia and Herzegovina,2020,2,2.2666666666666666
Bosnia and Herzegovina,2020,3,-34.225806451612904
Bosnia and Herzegovina,2020,4,-62.06666666666667
Bosnia and Herzegovina,2020,5,-30.93548387096774
Bosnia and Herzegovina,2020,6,-3.2666666666666666
Bosnia and Herzegovina,2020,7,-4.741935483870968
Bosnia and Herzegovina,2020,8,-2.967741935483871
Bosnia and Herzegovina,2020,9,-6.933333333333334
Bosnia and Herzegovina,2020,10,-13.064516129032258
Bosnia and Herzegovina,2020,11,-21.466666666666665
Bosnia and Herzegovina,2020,12,-14.64516129032258
Bosnia and Herzegovina,2021,1,-20.774193548387096
Bosnia and Herzegovina,2021,2,-13.5
Bosnia and Herzegovina,2021,3,-17.565217391304348
Botswana,2020,2,2.3870967741935485
Botswana,2020,3,-2.893939393939394
Botswana,2020,4,-66.32051282051282
Botswana,2020,5,-37.53521126760563
Botswana,2020,6,-4.714285714285714
Botswana,2020,7,-1.34375
Botswana,2020,8,-22.816326530612244
Botswana,2020,9,7.8431372549019605
Botswana,2020,10,5.323076923076923
Botswana,2020,11,12.016129032258064
Botswana,2020,12,12.920634920634921
Botswana,2021,1,-8.492537313432836
Botswana,2021,2,0.6610169491525424
Botswana,2021,3,8.638297872340425
Brazil,2020,2,-5.606592151423676
Brazil,2020,3,-29.10243627884538
Brazil,2020,4,-53.01758342730652
Brazil,2020,5,-45.92348123701259
Brazil,2020,6,-38.02928139118575
Brazil,2020,7,-32.35412375381066
Brazil,2020,8,-25.53651616086849
Brazil,2020,9,-19.74385378477464
Brazil,2020,10,-13.959581378563696
Brazil,2020,11,-10.989461799021452
Brazil,2020,12,-7.988298391028766
Brazil,2021,1,-21.146085295989817
Brazil,2021,2,-20.425342768686424
Brazil,2021,3,-32.304522722330944
Bulgaria,2020,2,2.2556097560975608
Bulgaria,2020,3,-31.937530266343824
Bulgaria,2020,4,-51.39868924085199
Bulgaria,2020,5,-20.569444444444443
Bulgaria,2020,6,-2.5022579026593075
Bulgaria,2020,7,2.09028794533919
Bulgaria,2020,8,6.7526223776223775
Bulgaria,2020,9,2.2354630294328786
Bulgaria,2020,10,-9.107729468599034
Bulgaria,2020,11,-25.10343087790111
Bulgaria,2020,12,-37.567846607669615
Bulgaria,2021,1,-42.750848279205044
Bulgaria,2021,2,-34.490435706695
Bulgaria,2021,3,-25.52956465237167
Burkina Faso,2020,2,0.4666666666666667
Burkina Faso,2020,3,-11.053763440860216
Burkina Faso,2020,4,-27.68888888888889
Burkina Faso,2020,5,-14.602150537634408
Burkina Faso,2020,6,3.2333333333333334
Burkina Faso,2020,7,10.96774193548387
Burkina Faso,2020,8,19.56
Burkina Faso,2020,9,18.475409836065573
Burkina Faso,2020,10,6.301075268817204
Burkina Faso,2020,11,9.88888888888889
Burkina Faso,2020,12,14.505376344086022
Burkina Faso,2021,1,13.666666666666666
Burkina Faso,2021,2,12.607142857142858
Burkina Faso,2021,3,17.565217391304348
Cambodia,2020,2,0.7377049180327869
Cambodia,2020,3,-14.63978494623656
Cambodia,2020,4,-32.05898876404494
Cambodia,2020,5,-18.464673913043477
Cambodia,2020,6,-13.257703081232494
Cambodia,2020,7,-11.154471544715447
Cambodia,2020,8,-11.956521739130435
Cambodia,2020,9,-9.642335766423358
Cambodia,2020,10,-14.232673267326733
Cambodia,2020,11,-12.523076923076923
Cambodia,2020,12,-19.471464019851116
Cambodia,2021,1,-9.126550868486353
Cambodia,2021,2,-6.107438016528926
Cambodia,2021,3,-23.147540983606557
Cameroon,2020,2,-6.754966887417218
